"(43, 0.9234305620193481)","(461, 0.8353842496871948)","(1748, 0.8085217475891113)","(1691, 0.7957871556282043)","(87, 0.7887285947799683)"
"(44, 0.9192929267883301)","(1154, 0.8876714706420898)","(1700, 0.8873443007469177)","(1848, 0.8758522272109985)","(417, 0.8740111589431763)"
"(24, 0.883667528629303)","(797, 0.8832352161407471)","(1119, 0.8810387849807739)","(56, 0.8707872629165649)","(20, 0.8643104434013367)"
"(46, 0.953087329864502)","(1240, 0.9320592880249023)","(419, 0.9313015341758728)","(368, 0.9307990670204163)","(336, 0.9303370714187622)"
"(1520, 0.9024819731712341)","(1119, 0.8886849880218506)","(47, 0.8871172070503235)","(1428, 0.8709084987640381)","(463, 0.8698655366897583)"
"(48, 0.8724322319030762)","(155, 0.8005720973014832)","(383, 0.7665653824806213)","(554, 0.7645870447158813)","(761, 0.7565757036209106)"
"(1082, 0.884981095790863)","(49, 0.8713672161102295)","(1387, 0.8257349133491516)","(238, 0.8217335939407349)","(1164, 0.799845814704895)"
"(50, 0.8830627799034119)","(383, 0.8678694367408752)","(1363, 0.857707142829895)","(554, 0.851320207118988)","(320, 0.8432505130767822)"
"(51, 0.9111407399177551)","(1886, 0.8615119457244873)","(87, 0.811877429485321)","(54, 0.8028024435043335)","(655, 0.7913639545440674)"
"(52, 0.9145298004150391)","(267, 0.8944774866104126)","(714, 0.8854362368583679)","(3, 0.8787388801574707)","(136, 0.8770155906677246)"
"(1193, 0.9254366755485535)","(620, 0.9185745716094971)","(1319, 0.9150304794311523)","(1241, 0.913286566734314)","(175, 0.9118554592132568)"
"(54, 0.9455485939979553)","(655, 0.8710644245147705)","(7, 0.8592463135719299)","(128, 0.8416950106620789)","(51, 0.8366122245788574)"
"(1600, 0.9095954895019531)","(55, 0.9052804112434387)","(238, 0.8772201538085938)","(282, 0.8750498294830322)","(986, 0.8722473382949829)"
"(56, 0.874262809753418)","(1150, 0.7874119281768799)","(1587, 0.7786155343055725)","(149, 0.7665092945098877)","(111, 0.7549465894699097)"
"(111, 0.8862558603286743)","(57, 0.8665968179702759)","(56, 0.8418197631835938)","(951, 0.8386964797973633)","(120, 0.8333836793899536)"
"(1445, 0.9098137617111206)","(1088, 0.8889032602310181)","(58, 0.8758315443992615)","(671, 0.8659071922302246)","(116, 0.8620379567146301)"
"(1644, 0.8532682657241821)","(649, 0.8495756983757019)","(59, 0.8439204692840576)","(1319, 0.8407046794891357)","(89, 0.8324225544929504)"
"(60, 0.8081225156784058)","(719, 0.7822712659835815)","(1294, 0.7508699893951416)","(64, 0.7348920106887817)","(770, 0.7275848388671875)"
"(61, 0.8716386556625366)","(998, 0.8424085974693298)","(123, 0.8348246216773987)","(854, 0.8252123594284058)","(1622, 0.823420524597168)"
"(826, 0.9181646108627319)","(1839, 0.9058616757392883)","(761, 0.9038224220275879)","(62, 0.9036830067634583)","(507, 0.9017394781112671)"
"(163, 0.9116405844688416)","(63, 0.9098381996154785)","(930, 0.8701464533805847)","(620, 0.8690232038497925)","(915, 0.8614807724952698)"
"(64, 0.8650426864624023)","(1119, 0.7624009251594543)","(1596, 0.7210633158683777)","(1502, 0.7126426696777344)","(60, 0.6924781799316406)"
"(293, 0.9066529273986816)","(581, 0.905394434928894)","(1722, 0.8993281126022339)","(700, 0.8938703536987305)","(1853, 0.8922868967056274)"
"(589, 0.7748159766197205)","(66, 0.7450534701347351)","(928, 0.6508070230484009)","(919, 0.6106885671615601)","(461, 0.6101217269897461)"
"(67, 0.9122162461280823)","(814, 0.8687822818756104)","(1710, 0.8662995100021362)","(1459, 0.8657436370849609)","(811, 0.8536401391029358)"
"(68, 0.9434936046600342)","(1313, 0.9010120034217834)","(1692, 0.8888113498687744)","(621, 0.88167405128479)","(7, 0.8691433668136597)"
